order_date,daily_revenue,daily_orders,is_q4
2009-12-01,53174.13,165,1
2009-12-02,62833.16,132,1
2009-12-03,70097.49,148,1
2009-12-04,40345.34,107,1
2009-12-05,9803.05,32,1
2009-12-06,24317.2,90,1
2009-12-07,44646.75,122,1
2009-12-08,43698.49,167,1
2009-12-09,40396.55,114,1
2009-12-10,42171.66,121,1
2009-12-11,38424.92,121,1
2009-12-13,22065.99,77,1
2009-12-14,72898.24,122,1
2009-12-15,48940.97,121,1
2009-12-16,52681.2,106,1
2009-12-17,29315.14,160,1
2009-12-18,42371.08,84,1
2009-12-20,11334.38,40,1
2009-12-21,14979.46,50,1
2009-12-22,27457.74,203,1
2009-12-23,10742.68,32,1
2010-01-04,13200.6,70,0
2010-01-05,19102.34,46,0
2010-01-06,8742.43,14,0
2010-01-07,72307.92,87,0
2010-01-08,28736.11,46,0
2010-01-10,23519.92,37,0
2010-01-11,36099.0,71,0
2010-01-12,40689.98,65,0
2010-01-13,20900.99,58,0
2010-01-14,30290.9,86,0
2010-01-15,13298.54,53,0
2010-01-17,17565.94,41,0
2010-01-18,21343.23,50,0
2010-01-19,32987.87,51,0
2010-01-20,15995.16,77,0
2010-01-21,26967.89,88,0
2010-01-22,35452.04,74,0
2010-01-24,16043.85,52,0
2010-01-25,22870.01,71,0
2010-01-26,45451.77,166,0
2010-01-27,28480.38,85,0
2010-01-28,19218.16,82,0
2010-01-29,18991.92,76,0
2010-01-31,18450.13,58,0
2010-02-01,18891.72,79,0
2010-02-02,21002.99,58,0
2010-02-03,21306.75,150,0
2010-02-04,22657.88,143,0
2010-02-05,20703.12,145,0
2010-02-07,16823.77,35,0
2010-02-08,15988.82,71,0
2010-02-09,19638.04,57,0
2010-02-10,9091.22,38,0
2010-02-11,14968.64,101,0
2010-02-12,11321.86,75,0
2010-02-14,17651.5,50,0
2010-02-15,41091.23,53,0
2010-02-16,30848.28,109,0
2010-02-17,22702.46,64,0
2010-02-18,34229.36,91,0
2010-02-19,27102.01,64,0
2010-02-21,9319.73,60,0
2010-02-22,26219.15,86,0
2010-02-23,22551.59,88,0
2010-02-24,32795.74,123,0
2010-02-25,45405.83,91,0
2010-02-26,15398.66,63,0
2010-02-28,16783.47,58,0
2010-03-01,25384.99,97,0
