full_date,year,month,month_name,country,daily_orders,gross_revenue,returns_revenue,net_revenue,is_q4
2009-12-01,2009,12,December,Australia,2,196.1,-196.1,0.0,1
2009-12-01,2009,12,December,Belgium,1,130.0,0.0,130.0,1
2009-12-01,2009,12,December,EIRE,3,1800.43,0.0,1800.43,1
2009-12-01,2009,12,December,France,3,1030.24,-5.95,1024.29,1
2009-12-01,2009,12,December,Germany,1,929.92,0.0,929.92,1
2009-12-01,2009,12,December,Portugal,1,2454.68,0.0,2454.68,1
2009-12-01,2009,12,December,USA,1,141.0,0.0,141.0,1
2009-12-01,2009,12,December,United Kingdom,153,47827.13,-1133.32,46693.81,1
2009-12-02,2009,12,December,Denmark,1,1008.0,0.0,1008.0,1
2009-12-02,2009,12,December,France,2,578.28,-28.95,549.33,1
2009-12-02,2009,12,December,Germany,1,0.0,-20.4,-20.4,1
2009-12-02,2009,12,December,Japan,1,0.0,-208.75,-208.75,1
2009-12-02,2009,12,December,Netherlands,2,5711.04,0.0,5711.04,1
2009-12-02,2009,12,December,Nigeria,1,0.0,-147.05,-147.05,1
2009-12-02,2009,12,December,United Kingdom,124,56055.19,-114.2,55940.99,1
2009-12-03,2009,12,December,EIRE,1,569.18,0.0,569.18,1
2009-12-03,2009,12,December,France,2,210.55,-354.45,-143.9,1
2009-12-03,2009,12,December,Germany,1,0.0,-41.5,-41.5,1
2009-12-03,2009,12,December,Poland,1,371.82,0.0,371.82,1
2009-12-03,2009,12,December,Spain,1,0.0,-3.35,-3.35,1
2009-12-03,2009,12,December,United Kingdom,142,72886.36,-3541.12,69345.24,1
2009-12-04,2009,12,December,Channel Islands,1,989.18,0.0,989.18,1
2009-12-04,2009,12,December,France,2,682.65,-45.75,636.9,1
2009-12-04,2009,12,December,Italy,1,0.0,-24.15,-24.15,1
2009-12-04,2009,12,December,Netherlands,1,508.26,0.0,508.26,1
2009-12-04,2009,12,December,Spain,2,435.88,-28.0,407.88,1
2009-12-04,2009,12,December,United Kingdom,100,38115.89,-288.62,37827.27,1
2009-12-05,2009,12,December,Cyprus,1,760.69,0.0,760.69,1
2009-12-05,2009,12,December,United Kingdom,31,9042.36,0.0,9042.36,1
2009-12-06,2009,12,December,Belgium,1,309.1,0.0,309.1,1
2009-12-06,2009,12,December,France,1,817.44,0.0,817.44,1
2009-12-06,2009,12,December,Germany,1,283.15,0.0,283.15,1
2009-12-06,2009,12,December,United Kingdom,87,23203.95,-296.44,22907.51,1
2009-12-07,2009,12,December,Australia,1,0.0,-21.0,-21.0,1
2009-12-07,2009,12,December,EIRE,4,1936.1,-14.0,1922.1,1
2009-12-07,2009,12,December,France,2,74.56,-5.8,68.76,1
2009-12-07,2009,12,December,Germany,3,1461.92,0.0,1461.92,1
2009-12-07,2009,12,December,Greece,1,610.95,0.0,610.95,1
2009-12-07,2009,12,December,Norway,1,485.31,0.0,485.31,1
2009-12-07,2009,12,December,Spain,1,412.6,0.0,412.6,1
2009-12-07,2009,12,December,United Kingdom,109,40101.91,-395.8,39706.11,1
2009-12-08,2009,12,December,Australia,1,0.0,-3.75,-3.75,1
2009-12-08,2009,12,December,Austria,1,1429.83,0.0,1429.83,1
2009-12-08,2009,12,December,Denmark,1,0.0,-17.2,-17.2,1
2009-12-08,2009,12,December,EIRE,5,728.05,-59.85,668.2,1
2009-12-08,2009,12,December,France,3,507.9,-406.85,101.05,1
2009-12-08,2009,12,December,Netherlands,1,104.15,0.0,104.15,1
2009-12-08,2009,12,December,Portugal,1,366.9,0.0,366.9,1
2009-12-08,2009,12,December,United Kingdom,154,46335.75,-5286.44,41049.31,1
2009-12-09,2009,12,December,Germany,4,1995.36,-60.78,1934.58,1
2009-12-09,2009,12,December,Sweden,2,285.3,-25.5,259.8,1
2009-12-09,2009,12,December,United Kingdom,108,38335.43,-133.26,38202.17,1
2009-12-10,2009,12,December,Belgium,1,8.5,0.0,8.5,1
2009-12-10,2009,12,December,Channel Islands,1,0.0,-43.8,-43.8,1
2009-12-10,2009,12,December,EIRE,1,377.57,0.0,377.57,1
2009-12-10,2009,12,December,France,2,0.0,-118.9,-118.9,1
2009-12-10,2009,12,December,United Arab Emirates,2,517.7,-38.16,479.54,1
2009-12-10,2009,12,December,United Kingdom,114,42325.32,-856.57,41468.75,1
2009-12-11,2009,12,December,EIRE,2,0.0,-20.9,-20.9,1
2009-12-11,2009,12,December,Germany,2,0.0,-30.4,-30.4,1
2009-12-11,2009,12,December,United Kingdom,117,39659.6,-1183.38,38476.22,1
2009-12-13,2009,12,December,EIRE,1,411.51,0.0,411.51,1
2009-12-13,2009,12,December,Finland,1,549.08,0.0,549.08,1
2009-12-13,2009,12,December,France,3,1506.26,0.0,1506.26,1
2009-12-13,2009,12,December,Germany,1,147.99,0.0,147.99,1
2009-12-13,2009,12,December,United Kingdom,71,19698.25,-247.1,19451.15,1
2009-12-14,2009,12,December,Cyprus,2,1081.66,-53.7,1027.96,1
2009-12-14,2009,12,December,EIRE,1,0.0,-61.9,-61.9,1
2009-12-14,2009,12,December,Germany,6,3927.51,-56.35,3871.16,1
2009-12-14,2009,12,December,United Kingdom,113,68318.49,-257.47,68061.02,1
2009-12-15,2009,12,December,Denmark,2,429.66,-36.0,393.66,1
2009-12-15,2009,12,December,EIRE,2,2111.54,0.0,2111.54,1
2009-12-15,2009,12,December,United Kingdom,117,47799.04,-1363.27,46435.77,1
2009-12-16,2009,12,December,Cyprus,2,78.2,-78.2,0.0,1
2009-12-16,2009,12,December,EIRE,1,825.32,0.0,825.32,1
2009-12-16,2009,12,December,Italy,1,422.35,0.0,422.35,1
2009-12-16,2009,12,December,Netherlands,1,511.2,0.0,511.2,1
2009-12-16,2009,12,December,United Kingdom,101,50955.18,-32.85,50922.33,1
2009-12-17,2009,12,December,Germany,1,0.0,-3.25,-3.25,1
2009-12-17,2009,12,December,Spain,1,1952.64,0.0,1952.64,1
2009-12-17,2009,12,December,Switzerland,1,589.4,0.0,589.4,1
